Time,EAS 20,EAS 10
0,3319,2584
0.5,4771,3131
1,6373,4746
1.5,7312,6205
2,7794,7206
2.5,8332,7459
3,9075,7696
3.5,9616,7923
4,10111,7968
4.5,10729,8256
5,11212,8547
5.5,12202,8528
6,12602,8872
6.5,13305,9202
7,13728,9178
7.5,14142,9846
8,14874,10014
8.5,15268,9940
9,15464,10243
9.5,16094,10264
10,16557,10701
10.5,17044,10545
11,17198,10867
11.5,17843,10974
12,18136,11194
12.5,18386,11219
13,18502,11330
13.5,18622,11365
14,18828,11389
14.5,18943,11534
15,18932,11437
15.5,19451,11625
16,19685,11629
16.5,19473,11585
17,19500,11788
17.5,19616,11816
18,19992,11714
18.5,20136,11678
19,19982,11736
19.5,20169,11798
20,20244,11730
20.5,20192,12032
21,20436,11901
21.5,20270,11778
22,20184,11914
22.5,20287,11946
23,20343,11817
23.5,20385,12017
24,20442,12091
24.5,20487,12054
25,20328,11884
25.5,20318,11956
26,20434,11969
26.5,20610,11959
27,20322,11983
27.5,20525,12044
28,20567,11869
28.5,20701,12058
29,20528,12094
29.5,20584,12031
30,20533,12080
30.5,20786,12094
31,20589,12071
31.5,20580,12147
32,20628,11991
32.5,20730,11922
33,20683,11940
33.5,20748,12092
34,20598,12064
34.5,20509,11914
35,20508,12012
35.5,20706,12065
36,20678,11974
36.5,20692,12102
37,20467,11966
37.5,20707,12064
38,20721,12142
38.5,20595,11989
39,20662,11972
39.5,20553,12003
40,20440,12044
40.5,20473,12014
41,20586,12072
41.5,20545,12120
42,20612,11997
42.5,20559,12008
43,20594,11970
43.5,20603,11896
44,20628,11981
44.5,20613,11963
45,20530,12057
45.5,20480,12094
46,20555,11962
46.5,20431,11992
47,20634,11993
47.5,20586,12036
48,20436,11963
48.5,20399,11970
49,20522,12001
49.5,20341,12008
50,20241,12018
50.5,20329,11909
51,20439,11940
51.5,20652,12019
52,20185,11880
52.5,20466,11966
53,20520,12015
53.5,20452,11983
54,20383,11912
54.5,20369,12002
55,20283,11911
55.5,20408,11926
56,20268,11908
56.5,20090,11844
57,20288,11882
57.5,20231,11885
58,20216,11760
58.5,20248,11887
59,20286,11857
59.5,20350,11866
60,20338,11984
60.5,20302,11868
61,20109,12074
61.5,20303,11907
62,20170,12015
62.5,20161,11998
63,20043,11788
63.5,20476,11957
64,20178,11872
64.5,20291,11902
65,20199,11868
65.5,20108,11790
66,20341,11766
66.5,20123,11617
67,20288,11862
67.5,20213,11720
68,20103,11839
68.5,20175,11709
69,20266,11869
69.5,20357,11871
70,20202,11919
70.5,20110,11840
71,19985,11900
71.5,20282,11917
72,20047,12019
72.5,20162,11808
73,20007,11863
73.5,20117,11887
74,20079,11776
74.5,20044,11866
75,20108,11832
