Time,Fluo
0,4268
0.5,7390
1,11316
1.5,16879
2,19586
2.5,21854
3,23364
3.5,25767
4,28458
4.5,31381
5,33921
5.5,36894
6,40280
6.5,43562
7,46344
7.5,50283
8,52768
8.5,56647
9,60633
9.5,63447
10,67682
10.5,70799
11,73539
11.5,77157
12,80362
12.5,83736
13,86783
13.5,89996
14,92288
14.5,94831
15,97675
15.5,100544
16,102130
16.5,105031
17,107059
17.5,106295
18,109985
18.5,110973
19,113834
19.5,114871
20,114495
20.5,117139
21,118754
21.5,118231
22,119175
22.5,121002
23,121810
23.5,123821
24,122698
24.5,123864
25,125559
25.5,125067
26,126844
26.5,127856
27,127054
27.5,126580
28,128585
28.5,129801
29,128663
29.5,127375
30,127932
30.5,130458
31,128467
31.5,129265
32,129474
32.5,129224
33,129849
33.5,130700
34,130281
34.5,128511
35,130417
35.5,130635
36,129979
36.5,129205
37,131089
37.5,129060
38,129785
38.5,128709
39,129304
39.5,130464
40,131605
40.5,128776
41,129859
41.5,128680
42,128535
42.5,128252
43,130090
43.5,130245
44,129520
44.5,129310
45,129675
45.5,129912
46,129195
46.5,128933
47,128791
47.5,128290
48,127590
48.5,129835
49,129838
49.5,128434
50,129872
50.5,128738
51,126232
51.5,126066
52,128344
52.5,127687
53,127146
53.5,128252
54,127448
54.5,127586
55,125320
55.5,126019
56,127132
56.5,126552
57,126148
57.5,124684
58,125141
58.5,124264
59,124983
59.5,127535
60,128338
60.5,127252
61,125767
61.5,126588
62,125985
62.5,125120
63,124362
63.5,124360
64,125626
64.5,125121
65,124521
65.5,124622
66,124022
66.5,123675
67,124727
67.5,124411
68,124857
68.5,124527
69,123356
69.5,123916
70,123390
70.5,122963
71,125516
71.5,123908
72,122977
72.5,122462
73,122688
73.5,122512
74,122065
74.5,122597
75,122705
75.5,124593
76,124074
76.5,124280
77,123763
77.5,122194
78,122054
78.5,121038
79,121941
79.5,124954
80,124920
80.5,124840
81,123112
81.5,122225
82,120750
82.5,123504
83,121390
83.5,120814
84,119982
84.5,120057
85,121576
85.5,121163
86,120420
86.5,121345
87,120339
87.5,119400
88,119208
88.5,120913
89,120052
89.5,121386
90,120241
90.5,119930
91,119571
91.5,119283
92,119053
92.5,122197
93,119866
93.5,122168
94,120905
94.5,119362
95,120670
95.5,119925
96,120052
96.5,119568
97,119157
97.5,120576
98,120638
98.5,121154
99,122415
99.5,121292
100,121733
100.5,121713
101,121165
101.5,121072
102,120199
102.5,121810
103,121439
103.5,121348
104,120971
104.5,121574
105,120735
105.5,120563
106,120953
106.5,121228
107,120504
107.5,121465
108,120240
108.5,118230
109,117536
109.5,119428
110,118744
110.5,119551
111,119485
111.5,117971
112,119524
112.5,119268
113,117778
113.5,119670
114,118748
114.5,119212
115,119084
115.5,119188
116,118546
116.5,117676
117,117351
117.5,119088
118,118724
118.5,119963
119,119183
119.5,117808
120,118652
120.5,116431
121,116971
121.5,117208
122,115149
122.5,116725
123,116239
123.5,116770
124,116744
124.5,116232
125,117675
125.5,115860
126,116697
126.5,116233
127,117911
127.5,117007
128,118065
128.5,117978
129,118424
129.5,117844
130,117796
130.5,117629
131,116463
131.5,116923
132,118260
132.5,117338
133,117901
133.5,117181
134,117030
134.5,116980
135,116320
135.5,116286
136,114521
136.5,115419
137,117001
137.5,115992
138,117292
138.5,117090
139,115908
139.5,115832
140,116362
140.5,115268
141,116136
141.5,115935
142,115855
142.5,116163
143,115796
143.5,115086
144,116111
144.5,113991
145,113324
145.5,115177
146,114500
146.5,112928
147,115909
147.5,115222
148,114672
148.5,114936
149,114923
149.5,114960
